42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:18:19.0 (337278)|USER_INFO|[EXTERNAL]|005f4000001uuP2|nmolinam@deloitte.com|Hora de Venezuela|GMT-04:00
14:18:19.0 (370261)|EXECUTION_STARTED
14:18:19.0 (374640)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
14:18:19.0 (1897377)|CODE_UNIT_STARTED|[EXTERNAL]|01pf4000008WnsX|ViewQuotePDF.getPDF
14:18:19.0 (2139983)|HEAP_ALLOCATE|[72]|Bytes:3
14:18:19.0 (2185399)|HEAP_ALLOCATE|[77]|Bytes:152
14:18:19.0 (2201162)|HEAP_ALLOCATE|[342]|Bytes:408
14:18:19.0 (2213113)|HEAP_ALLOCATE|[355]|Bytes:408
14:18:19.0 (2223787)|HEAP_ALLOCATE|[467]|Bytes:48
14:18:19.0 (2250275)|HEAP_ALLOCATE|[139]|Bytes:6
14:18:19.0 (2264168)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
14:18:19.0 (2269511)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:18:19.0 (2279367)|METHOD_ENTRY|[1]|01pf4000008WnsX|ViewQuotePDF.ViewQuotePDF()
14:18:19.0 (2285867)|STATEMENT_EXECUTE|[1]
14:18:19.0 (2290631)|STATEMENT_EXECUTE|[1]
14:18:19.0 (2319062)|HEAP_ALLOCATE|[50]|Bytes:5
14:18:19.0 (2341937)|HEAP_ALLOCATE|[56]|Bytes:5
14:18:19.0 (2348762)|HEAP_ALLOCATE|[64]|Bytes:7
14:18:19.0 (2368196)|SYSTEM_MODE_ENTER|false
14:18:19.0 (2381379)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:18:19.0 (2389861)|SYSTEM_MODE_EXIT|false
14:18:19.0 (2397997)|METHOD_EXIT|[1]|ViewQuotePDF
14:18:19.0 (2408099)|SYSTEM_MODE_ENTER|false
14:18:19.0 (2420651)|HEAP_ALLOCATE|[4]|Bytes:5
14:18:19.0 (2425521)|STATEMENT_EXECUTE|[3]
14:18:19.0 (2427402)|STATEMENT_EXECUTE|[4]
14:18:19.0 (2531135)|HEAP_ALLOCATE|[4]|Bytes:4
14:18:19.0 (2608800)|VARIABLE_SCOPE_BEGIN|[4]|quotes|List<Quote>|true|false
14:18:19.0 (2621963)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (2643631)|VARIABLE_ASSIGNMENT|[4]|quotes|[]|0x5465a29b
14:18:19.0 (2649728)|STATEMENT_EXECUTE|[5]
14:18:19.0 (2654013)|VARIABLE_SCOPE_BEGIN|[5]|pfdBase64|String|false|false
14:18:19.0 (2663375)|VARIABLE_ASSIGNMENT|[5]|pfdBase64|null
14:18:19.0 (2667654)|STATEMENT_EXECUTE|[6]
14:18:19.0 (2684459)|VARIABLE_SCOPE_BEGIN|[6]|b|Blob|false|false
14:18:19.0 (2693650)|VARIABLE_ASSIGNMENT|[6]|b|null
14:18:19.0 (2699916)|HEAP_ALLOCATE|[8]|Bytes:22
14:18:19.0 (2716315)|HEAP_ALLOCATE|[8]|Bytes:4
14:18:19.0 (3335616)|SOQL_EXECUTE_BEGIN|[8]|Aggregations:0|SELECT Name FROM Quote
14:18:19.0 (5279153)|SOQL_EXECUTE_END|[8]|Rows:32
14:18:19.0 (5298200)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:132
14:18:19.0 (5445020)|HEAP_ALLOCATE|[8]|Bytes:54
14:18:19.0 (5453881)|HEAP_ALLOCATE|[8]|Bytes:8
14:18:19.0 (5463507)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
14:18:19.0 (5467610)|STATEMENT_EXECUTE|[7]
