42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:22:28.0 (63805)|USER_INFO|[EXTERNAL]|005f4000001uuP2|nmolinam@deloitte.com|Hora de Venezuela|GMT-04:00
14:22:28.0 (97338)|EXECUTION_STARTED
14:22:28.0 (101891)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
14:22:28.0 (1466366)|CODE_UNIT_STARTED|[EXTERNAL]|01pf4000008WnsX|ViewQuotePDF.getPDF
14:22:28.0 (1701693)|HEAP_ALLOCATE|[72]|Bytes:3
14:22:28.0 (1761020)|HEAP_ALLOCATE|[77]|Bytes:152
14:22:28.0 (1783144)|HEAP_ALLOCATE|[342]|Bytes:408
14:22:28.0 (1803354)|HEAP_ALLOCATE|[355]|Bytes:408
14:22:28.0 (1821891)|HEAP_ALLOCATE|[467]|Bytes:48
14:22:28.0 (1857527)|HEAP_ALLOCATE|[139]|Bytes:6
14:22:28.0 (1942682)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
14:22:28.0 (1952944)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:22:28.0 (1967322)|METHOD_ENTRY|[1]|01pf4000008WnsX|ViewQuotePDF.ViewQuotePDF()
14:22:28.0 (1976679)|STATEMENT_EXECUTE|[1]
14:22:28.0 (1983954)|STATEMENT_EXECUTE|[1]
14:22:28.0 (2024144)|HEAP_ALLOCATE|[50]|Bytes:5
14:22:28.0 (2055266)|HEAP_ALLOCATE|[56]|Bytes:5
14:22:28.0 (2062748)|HEAP_ALLOCATE|[64]|Bytes:7
14:22:28.0 (2087330)|SYSTEM_MODE_ENTER|false
14:22:28.0 (2101968)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:22:28.0 (2114800)|SYSTEM_MODE_EXIT|false
14:22:28.0 (2127675)|METHOD_EXIT|[1]|ViewQuotePDF
